State,Week_Ending,"Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026","Week ending Sunday, 5th April 2026"
,,Location,Weekly Average,Weekly Change,Variation,Weekly low,Weekly high
Victoria,"Week ending Sunday, 5th April  2026",Yarrawonga,246.9,-14.3,+6.8,234.6,264.9
Queensland,"Week ending Sunday, 5th April  2026",Queensland State Average,240.2,-12.5,+1.1,228.8,259.4
Queensland,"Week ending Sunday, 5th April  2026",Brisbane,239.1,-12.4,-,227.1,259.2
Queensland,"Week ending Sunday, 5th April  2026",Queensland Regional Average,242.3,-12.6,+3.2,231.8,259.9
Queensland,"Week ending Sunday, 5th April  2026",Atherton,247.5,-8.2,+8.4,239.0,262.1
Queensland,"Week ending Sunday, 5th April  2026",Ayr,242.1,-14.2,+3.0,229.6,260.1
Queensland,"Week ending Sunday, 5th April  2026",Biloela,255.2,-7.5,+16.0,246.3,266.8
Queensland,"Week ending Sunday, 5th April  2026",Blackall,248.9,3.3,+9.8,248.9,248.9
Queensland,"Week ending Sunday, 5th April  2026",Blackwater,241.4,-12.3,+2.3,231.8,256.9
Queensland,"Week ending Sunday, 5th April  2026",Bowen,244.1,-10.3,+5.0,233.9,258.4
Queensland,"Week ending Sunday, 5th April  2026",Bundaberg,242.2,-13.9,+3.1,233.5,257.9
Queensland,"Week ending Sunday, 5th April  2026",Cairns,241.2,-13.8,+2.0,229.2,260.5
Queensland,"Week ending Sunday, 5th April  2026",Charleville,266.6,14.7,+27.5,266.6,266.6
Queensland,"Week ending Sunday, 5th April  2026",Charters Towers,256.1,-1.3,+16.9,249.6,266.6
Queensland,"Week ending Sunday, 5th April  2026",Childers,248.0,-6.1,+8.9,240.0,259.9
Queensland,"Week ending Sunday, 5th April  2026",Cloncurry,280.1,-4.9,+41.0,278.2,283.2
Queensland,"Week ending Sunday, 5th April  2026",Cunnamulla,280.5,2.1,+41.4,276.9,284.4
Queensland,"Week ending Sunday, 5th April  2026",Dalby,237.6,-13.5,-1.5,227.6,256.1
Queensland,"Week ending Sunday, 5th April  2026",Emerald,245.3,-12.3,+6.1,234.3,261.9
Queensland,"Week ending Sunday, 5th April  2026",Gladstone,243.2,-13.9,+4.0,231.7,260.3
Queensland,"Week ending Sunday, 5th April  2026",Gold Coast,238.6,-12.3,-0.5,227.1,258.7
Queensland,"Week ending Sunday, 5th April  2026",Goondiwindi,245.1,-6.5,+6.0,240.0,256.3
